drug_name,medical_condition,drug_classes,activity,pregnancy_category,rating,no_of_reviews,side_effect_categories
1065,Acne,165,87.0,3,6.8,760.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
2433,Acne,9,82.0,2,7.2,449.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular']"
1840,Acne,237,48.0,3,5.7,482.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'weight_appetite']"
25,Acne,167,41.0,5,7.9,623.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
779,Acne,250,39.0,1,7.4,146.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
150,Acne,9,35.0,2,7.6,8.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular']"
2616,Acne,245,30.0,2,7.7,439.0,"['allergic', 'muscle_pain', 'dermatological']"
1591,Acne,167,26.0,5,8.0,999.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
417,Acne,233,20.0,3,8.5,96.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
2278,Acne,245,17.0,2,7.9,86.0,['allergic']
97,Acne,245,13.0,2,7.4,227.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
475,Acne,245,13.0,2,7.8,51.0,"['allergic', 'neurological', 'dermatological']"
1006,Acne,245,12.0,2,6.0,329.0,"['allergic', 'muscle_pain', 'cardiovascular', 'dermatological']"
1182,Acne,245,12.0,2,7.3,698.0,"['allergic', 'neurological', 'dermatological']"
100,Acne,245,9.0,2,6.3,499.0,"['allergic', 'muscle_pain', 'cardiovascular', 'dermatological']"
675,Acne,118,9.0,1,8.4,8.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'blood_pressure']"
1057,Acne,165,9.0,3,7.5,57.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
2541,Acne,237,9.0,3,6.3,55.0,"['gastrointestinal', 'allergic', 'dermatological', 'systemic', 'weight_appetite']"
2385,Acne,233,8.0,3,10.0,2.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
2417,Acne,237,8.0,3,6.9,99.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
2522,Acne,248,8.0,5,8.0,30.0,"['allergic', 'muscle_pain', 'dermatological']"
2766,Acne,165,8.0,3,8.3,4.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
85,Acne,237,7.0,3,5.7,8.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
476,Acne,245,7.0,2,7.6,570.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
1064,Acne,165,7.0,3,9.0,5.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
1620,Acne,118,7.0,1,7.5,4.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'blood_pressure']"
2467,Acne,233,7.0,3,7.7,193.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
462,Acne,245,6.0,2,8.2,94.0,"['allergic', 'dermatological', 'blood_pressure']"
